,model,source,target,source_acc,target_acc,source_acc_ft,target_acc_ft,training_time,finetuning_time,catastrophic forgetting
0,mobilenet_v2,amazon,dslr,0.8579040765762329,0.7878788113594055,0.8223801255226135,0.9797979593276978,20.085060596466064,3.3203561305999756,-0.035523951053619385
1,mobilenet_v2,amazon,webcam,0.8614564538002014,0.7169811129570007,0.8223801255226135,0.9685534834861755,18.31716275215149,4.713649749755859,-0.03907632827758789
2,mobilenet_v2,dslr,amazon,0.9797979593276978,0.5914742350578308,0.939393937587738,0.8614564538002014,5.41672158241272,15.983192682266235,-0.04040402173995972
3,mobilenet_v2,dslr,webcam,0.939393937587738,0.9308176040649414,0.9797979593276978,0.9811320900917053,5.6320953369140625,4.717779874801636,0.04040402173995972
4,mobilenet_v2,webcam,amazon,0.9685534834861755,0.6074600219726562,0.9119496941566467,0.8579040765762329,6.923398017883301,15.200418949127197,-0.05660378932952881
5,mobilenet_v2,webcam,dslr,0.9874213933944702,1.0,0.9937106966972351,0.9898989796638489,6.703023910522461,3.1120729446411133,0.006289303302764893
6,inception_v3,amazon,dslr,0.8401420712471008,0.7878788113594055,0.8348134756088257,0.9494949579238892,25.773040056228638,4.3705222606658936,-0.0053285956382751465
7,inception_v3,amazon,webcam,0.8436945080757141,0.7735849022865295,0.8312610983848572,0.9685534834861755,26.439015865325928,6.580363988876343,-0.012433409690856934
8,inception_v3,dslr,amazon,0.9494949579238892,0.6447601914405823,0.8888888955116272,0.838365912437439,7.696542263031006,22.49513578414917,-0.06060606241226196
9,inception_v3,dslr,webcam,0.9595959782600403,0.9308176040649414,0.9797979593276978,0.9685534834861755,7.795503377914429,6.4783546924591064,0.02020198106765747
10,inception_v3,webcam,amazon,0.9811320900917053,0.6234458088874817,0.893081784248352,0.845470666885376,9.693835020065308,22.394017219543457,-0.08805030584335327
11,inception_v3,webcam,dslr,0.9748427867889404,0.9797979593276978,0.9937106966972351,0.9797979593276978,9.981271982192993,4.327161073684692,0.018867909908294678
12,vision-transformer,amazon,dslr,0.8596802949905396,0.7979797720909119,0.8401420712471008,0.9595959782600403,54.322179317474365,10.979807376861572,-0.01953822374343872
13,vision-transformer,amazon,webcam,0.8650088906288147,0.6918238997459412,0.8401420712471008,0.9874213933944702,53.06146955490112,15.425503730773926,-0.024866819381713867
14,vision-transformer,dslr,amazon,0.8787878751754761,0.5435168743133545,0.9494949579238892,0.8632326722145081,16.226757049560547,47.2690634727478,0.07070708274841309
15,vision-transformer,dslr,webcam,0.9292929172515869,0.805031418800354,0.9898989796638489,0.9685534834861755,16.231163501739502,15.310932397842407,0.06060606241226196
16,vision-transformer,webcam,amazon,0.9685534834861755,0.577264666557312,0.9371069073677063,0.8685612678527832,20.631935834884644,47.871440410614014,-0.03144657611846924
17,vision-transformer,webcam,dslr,0.9371069073677063,0.9494949579238892,0.9685534834861755,0.9898989796638489,20.746078968048096,10.889517545700073,0.03144657611846924
18,efficientnet-v2,amazon,dslr,0.8436945080757141,0.7979797720909119,0.8188276886940002,0.9191918969154358,23.55729579925537,3.9206812381744385,-0.024866819381713867
19,efficientnet-v2,amazon,webcam,0.845470666885376,0.7547169923782349,0.825932502746582,0.9685534834861755,24.7523090839386,5.6485679149627686,-0.019538164138793945
20,efficientnet-v2,dslr,amazon,0.9494949579238892,0.6216696500778198,0.8888888955116272,0.8525754809379578,7.921674966812134,18.422935962677002,-0.06060606241226196
21,efficientnet-v2,dslr,webcam,0.9494949579238892,0.9371069073677063,0.9797979593276978,0.9748427867889404,9.63878870010376,5.5309224128723145,0.030303001403808594
22,efficientnet-v2,webcam,amazon,0.9685534834861755,0.6287744045257568,0.9182389974594116,0.838365912437439,9.851554155349731,18.850589752197266,-0.050314486026763916
23,efficientnet-v2,webcam,dslr,0.9685534834861755,0.9595959782600403,0.9874213933944702,0.9696969985961914,12.532682418823242,3.7192397117614746,0.018867909908294678
24,resnet-50,amazon,dslr,0.8632326722145081,0.7272727489471436,0.8632326722145081,0.9494949579238892,35.90059304237366,6.229707717895508,0.0
25,resnet-50,amazon,webcam,0.8579040765762329,0.6792452931404114,0.838365912437439,0.9874213933944702,34.94750475883484,9.652484655380249,-0.019538164138793945
26,resnet-50,dslr,amazon,0.9595959782600403,0.6021314263343811,0.9292929172515869,0.8703374862670898,9.514237642288208,31.18499231338501,-0.03030306100845337
27,resnet-50,dslr,webcam,0.9595959782600403,0.955974817276001,0.9898989796638489,0.9937106966972351,9.75499153137207,9.036502361297607,0.030303001403808594
28,resnet-50,webcam,amazon,0.9811320900917053,0.5683836340904236,0.9308176040649414,0.8685612678527832,12.753717184066772,31.514989376068115,-0.050314486026763916
29,resnet-50,webcam,dslr,0.9811320900917053,0.9797979593276978,0.9937106966972351,0.9898989796638489,12.92735481262207,5.95294713973999,0.012578606605529785
